order_date,quantity,brand,unit_price,ram,memori_internal,ukuran_layar,resolusi_kamera,kapasitas_baterai,os,rating_pengguna,tahun_rilis,stok_tersedia,total_amount,order_year,order_month,order_day
1970-01-01 00:00:00.000000001,10,Apple,15015201,12,256,5.5,48,4000,iOS,2.4,7141905,True,150152010,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000002,11,Apple,18727456,4,512,6.1,108,5000,iOS,4.4,9152020,False,206002016,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000003,14,Apple,6526745,16,128,6.8,108,4000,iOS,4.1,1152024,True,91374430,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000004,16,Apple,13673821,16,256,6.1,12,4000,iOS,4.6,1162024,True,218781136,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000005,16,Apple,14212345,4,256,6.5,12,4500,iOS,4.4,11272019,True,227397520,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000006,16,Apple,2295326,12,64,6.8,108,6000,iOS,5.0,7102023,False,36725216,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000007,18,Apple,10540534,6,256,6.8,48,4000,iOS,3.6,8272023,False,189729612,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000008,20,Apple,22889361,16,256,5.5,64,4000,iOS,3.7,5312022,True,457787220,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000009,22,Apple,5677986,12,256,6.1,12,4500,iOS,3.4,4112020,True,124915692,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000010,22,Apple,5102004,12,512,6.7,108,6000,iOS,3.0,8282020,False,112244088,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000011,22,Apple,13155180,4,256,6.7,50,4000,iOS,1.7,842021,False,289413960,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000012,24,Apple,2427121,12,128,6.1,108,4500,iOS,1.7,11282020,True,58250904,1970,1970-01,1970-01-01
1970-01-01 00:00:00.000000013,25,Apple,5585970,8,512,6.7,48,6000,iOS,4.0,5192022,True,139649250,1970,1970-01,1970-01-01
